case,frac_equal_cn,ploidy_equal,mm_equal,fudge_factor,tree_height_init,tree_height_res,height_ratio
C516,0.942989610760011,2,1.0280395852968898,1.0315333042811563,283262,218540,1.2961563100576554
C518,0.9567526581776571,1.9995295428966406,1.0355918893195382,1.0092800343036685,196018,183159,1.0702067602465617
C519,0.8648703171031168,2.2113412703874475,1.0105292134058221,1.1441952350640465,4127,3534.9999999999995,1.1674681753889675
C524,0.9090393692023554,2.0516227852293425,1.0122122868024508,1.0867901735080008,11008,10085,1.0915220624690134
C525,0.7262346570020417,2.8093571798859513,1.2509072058061173,1.100773423105429,8374,7019,1.193047442655649
C527,0.6289542240416822,3.017866323907455,1.1280205655526991,1.409496313237285,4395,3871,1.1353655386205115
C528,0.4531823351616819,1.3959300737503415,1.0736137667304015,2.0553176670211726,8485,6541.999999999999,1.29700397431978
C530,0.0936144607647065,2.0220545560069647,1.1892048752176436,8.98256521647284,6906,4397.999999999998,1.5702592087312421
C531,0.477261581376583,3.462056427176621,1.2144636724799678,1.7252776469130595,14230,12895,1.1035284994183792
C532,0.9619559735521322,2.159387259480665,1.0203997758266392,1.0187660166436896,17363,14734,1.1784308402334736
C536,0.6968512290050051,2,1.0566495890703385,1.3580912189680103,163840,134533,1.2178424624441586
C537,0.543016044715122,3.098178450138932,1.0619532777606258,1.7341311050175885,5204,4159.999999999998,1.250961538461539
C538,0.9268683762943073,2.101846285959639,1.019665092314298,1.0580943211423124,7469,6682.000000000001,1.1177791080514814
C539,0.7240399430974335,2.9339492665532054,1.0560823405462356,1.3077950639833587,26239,19167.000000000004,1.3689674962174567
C542,0.5262026580037494,3.0825155494125775,1.1411195577055977,1.665389467369131,10459,7210,1.450624133148405
C543,0.9124479581508753,2.1578304848273455,1.0172073014765726,1.0774135359958668,5379,4806.000000000003,1.1192259675405736
C544,0.38671832881753265,2.6995861550037623,1.11418359668924,2.3208575407602132,5066,3917,1.2933367372989533
C547,0.672260694447826,2.5075798383993844,1.0607926125432858,1.402270486647077,5441,5440.999999999999,1.0000000000000002
C548,0.9610203506672834,1.9998082646281585,1.0137382562084747,1.0264589350017534,163259,152276.00000000003,1.0721256140166537
C549,0.15367518929842197,2.4507206856252433,1.407089988313206,4.6246020809605195,13323,11237,1.1856367357835722
C550,0.4520519357654891,1.9920282279142707,1.246732880292734,1.77434576117998,10683,9304,1.1482158211521927
C551,0.595191802691394,2,1.280479384493983,1.3121106724493397,12330,8379,1.4715359828141783
C552,0.8793255167664317,2,1.010433377440017,1.125492590687207,135102,125066,1.080245630307198
C554,0.28732317944829555,2.670801393728223,1.2662020905923346,2.7486934666791596,12877,10876,1.1839830820154469
C555,0.6593706631792396,2.2171589513974146,1.0415252401242145,1.4561314447484723,8505,7970.000000000002,1.067126725219573
C559,0.545172498947859,3.1814367580843226,1.2826442898076136,1.4300783373861292,11175,9399,1.1889562719438238
C560,0.3541002194713905,3.9495216100296933,1.450181458264599,1.9473833659020046,7469,6990,1.0685264663805436
C561,0.32992010684882905,2.0073245570622587,1.0246461447094923,2.9581303373480567,8870,7940.000000000002,1.1171284634760703
C562,0.9620290147438862,1.9996443624868283,1.1918071654373024,0.872179424952193,57743,49241,1.172660993887208
